"","Andong","Anseong","Busan","Changnyeong","Cheonan","Chilgok","Chungju","Daegu","Daejeon","Damyang","Euisung","Eumsung","Gimcheon","Gimhae","Gimje","Gokseong","Goryeong","Gumi","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Hadong","Haman","Hapcheon","Hoengsung","Hwaseong","Iksan","Jangsung","Jeongeup","Jeongju","Jincheon","Namwon","Nonsan","Okchun","Osan","Pyeongchang","Pyeongtaek","Sacheon","Seoul","Sunchang","Suncheon","Suwon","Ulsan","Wanju","Wonju","Yangsan","Yechun","Yeoju","Yeongchun","Yeongdong","Yeongju","Yicheon","Yongin"
"Goryeong",0,20,848,6240,36,0,34,1666536,273,234,0,0,1,843,2,5,95993,0,0,5,2374,70,0,0,44,19585,308207,0,2,8,0,0,8,2,1996,23,0,16,0,0,95,192,256,80,34,0,1,1,0,0,0,0,1,0,5,10
"Gumi",1868,41997,149551,0,68233,348239,97809,3648409,243084,3,534,6336,435442,0,921,0,0,103306,320,17313,5143,2,158410,135724,0,2,0,383,726,20375,740,5135,9426,9225,8,11114,27762,53158,678,27,1,252550,0,1,95166,160579,1644,3225,41769,100,2207,87760,71058,1370,11306,28200
"Gunwi",44072,93,3440,0,173,48212,152,439722,587,0,13146,11,216,0,7,0,0,228,448,72,1,0,4123,6505,0,0,0,51,7,56,0,9,27,22,0,48,59,116,41,0,0,1293,0,0,319,4726,10,337,1397,3986,35,1081,85,30440,61,92
"Gwangjoo",793,371363,19498,5,9058,3867,299739,71184,168928,0,99,187243,21461,419,3148,0,9,14569,67,229411,57992,81,10099,4386,102,611,11,38057,2273,37690,7212,19112,31654,70013,127,14743,11839,10453,48477,649,412,4560372,9,59,57136,11964,4446,259291,7106,147,99107,4612,5855,1150,230344,45436
"Gwangju",15,83655,20898,1358,87888,89,157723,30266,521544,1178229,2,13734,2147,24997,480180,1907239,2555,4665,3,65061,39120,516700,119,43,101590,21158,753,4119,1853,271885,1439221,983482,748091,15032,775671,284146,14975,99285,7155,26,137596,1248568,295069,2402503,270453,81,198269,27545,22,0,11409,47,3689,23,37231,49038
"Gwangyang",0,254,37254,2230,319,0,588,23193,1785,16790,0,37,4,35812,0,76105,119,0,0,111,473001,978528,0,0,351919,24519,108,3,12,3,1,0,49794,47,395,14,40,191,11,1,308596,2710,140,946438,352,1,0,58,0,1,34,0,10,0,67,154
"Gyeongju",26606,28295,1371834,0,73442,119683,49073,2261794,145786,80,7406,4316,40108,0,476,0,7,151700,3399,12741,184,0,292384,496021,0,18,19,776,2048,17709,53,1357,4474,5743,217,6928,17254,32248,721,764,0,243795,67,0,80926,1122555,1075,5374,804451,4500,2000,255957,19553,38998,10764,18372
"Gyeongsan",22136,9162,152965,0,15685,184846,13248,3669163,40770,5,9040,1283,24536,0,170,0,0,133478,6948,4293,126,0,498996,2943,0,1,1,89,394,3263,15,626,1066,2105,14,3146,5052,11333,112,53,0,60280,4,0,19394,235219,307,711,71873,1989,529,236038,6779,17041,2046,3910
"Hadong",0,295,30842,2147,337,0,577,8527,2463,4369,0,44,0,31026,0,10213,113,2,0,117,102261,307985,0,0,195796,39457,90,8,7,8,0,1,77348,46,272,18,31,245,11,0,578752,3023,62,148345,575,0,1,34,0,0,18,0,3,0,57,94
"Haman",0,1997,67499,1707688,2878,0,3018,3883007,12605,943,0,196,2,104999,6,2007,22211,1,0,531,24250,27026,1,0,43551,1857474,75276,3,53,241,1,5,29829,291,6589,522,103,1669,10,0,74733,13787,199,24931,2315,1,5,44,1,0,51,1,7,0,301,758
"Hapcheon",0,23,1396,28981,38,0,35,1358352,358,64,0,3,1,1474,0,5,354789,0,0,6,676,106,0,0,68,75989,3500,0,1,4,0,0,12,3,748,8,2,28,0,0,244,312,69,68,38,0,0,2,0,0,1,0,0,0,4,5
"Hoengsung",351,19996,489,4,5436,222,16870,2491,19492,0,61,2808,455,302,186,0,0,352,48,40410,4208,6,521,72,12,17,0,178658,3275,2866,642,1311,2612,3535,5,1470,726,5809,283581,290,21,374699,0,5,120278,1013,316,446298,424,113,44407,63,228,727,54953,49435
"Hwaseong",96,8323,949,0,5259,180,7853,3334,6829,0,14,4534,723,28,1526,0,3,979,6,2199,2240,6,728,230,8,61,4,3718,3355776,885,269,643,853,1352,8,388,598,2503,4601,1735973,70,2373759,0,4,165411,741,133,16238,328,20,7615,302,373,157,23205,58550
"Iksan",400,60159,3966,15,52705,3434,177110,36378,787686,0,210,15887,13629,166,59012,0,9,21201,43,44619,277453,4,19665,4393,6,208,5,3278,974,23870,58716,192431,59117,19091,4,274536,19224,59593,4556,9,90,653093,0,1,150198,14797,49264,19700,1220,10,8445,7917,7866,191,23594,35617
"Jangsung",1,10127,4,0,9094,56,21305,149,67717,0,2,1827,537,0,70777,0,0,716,0,8908,1221350,0,32,13,0,0,0,502,246,55832,71255,157949,77482,2416,0,47840,2215,12114,796,2,0,147319,0,0,30930,36,24959,3326,0,0,1206,23,708,6,3706,6131
"Jeongeup",86,27592,152,1,25073,592,58521,5774,214606,0,48,5235,4482,4,491472,0,0,5460,13,24329,969746,0,1443,624,1,4,1,1334,612,197461,161367,76165,396158,5540,0,125312,7083,29632,1878,0,4,450154,0,0,85547,918,230525,7235,67,1,2805,1296,2791,30,9860,15512
"Jeongju",276,45846,8607,1706,49208,2598,114549,17657,559829,1160,95,7312,6916,10816,44683,3125,13,10620,19,37053,812376,48373,4398,1926,74767,29061,19,2875,838,74878,84127,400278,19365,9929,530,207417,10872,49223,3627,5,127076,675956,27,32624,143903,5043,14687,13473,385,4,5134,3144,3938,96,21929,27589
"Jincheon",22,43039,7123,5,80,2263,797760,31981,184557,0,20,50053,9495,207,950,0,4,8216,21,67634,17072,62,5808,2217,54,308,2,3459,1209,20703,3874,7750,8874,986,28,8802,13216,881,4473,23,231,255086,1,21,65315,8022,1958,17949,3588,2,8399,2294,3479,40,27562,22265
"Namwon",0,220,10419,534,207,0,413,16820,2203,88757,0,31,3,10540,0,1325,2496,0,0,118,757189,4644,0,0,4465,7868,956,4,5,7,0,0,1958,38,36332,14,46,208,9,0,9664,2336,139824,3222,399,0,0,36,0,0,18,0,6,0,68,106
