"","Andong","Ansan","Anseong","Boeun","Boryeong","Buan","Busan","Buyeo","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungdo","Chungju","Chungyang","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangneung","Gapyeong","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jinan","Jincheon","Jinju","Milyang","Muan","Muju","Munkyeong","Naju","Namwon","Namyangju","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Sejong","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Sungju","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangpyeong","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yesan","Yicheon","Yongin"
"Gokseong",77,913,1869,29,1288,5427,10521,310,498,4147,4285,29,6,64,1,2603,29,1111,5082,84725,942,8,22,5,65,175,54,0,132,82,53,12850,3648,8703,4,96787,1534,76,608,63,369,5099,2,404,1922316,60030,32,29,502,4867,8411,154,136,49,29,57,636,3773,1691,248,24969,12,11204,5390,9,311,5831,2,676,68,5,4,727,0,3207,37,1970,52,41,2431,5680,179,51,199,561,1045,21990,3189,332,299773,41,935,3989,9,2163,181,0,1,42,0,119,20,4,4221,16,398,563,1756
"Gongju",30,20055,84714,1856,9234,12502,6376,61318,997,765,243734,2081,43,401,245,12477,28531,20779,604621,1900,72165,43,251,12,2573,1304,554,0,423,13423,8423,2454,7178,6561,21,1413,478194,983,408,8635,10590,69787,18,993,71173,1179,5355,2715,4953,452,3486,2314,1440,287,283,295,998,109929,32854,787,6472,197,13591,42979,819,1029,2227,1111,19023,3541,74,105,445,0,92098,10451,108621,2909,346,66299,1318,920,2556,182190,60713,58280,740707,74134,62,12660,921,49850,2052,8287,38876,1454,1,4265,380,1,931,1782,2662,3655,12,273463,1868,95560
"Goryeong",8415,3563,4493,1308,23,237,30525,112,33741,14375,10971,16793,4830,739,399,10942,156,1250030,16814,1911,902,1906,25,2893,194,2684,479,10,97646,780,55226,31842,265,581,3900,69,961,52149,139,30093,1082,42,2431,7789,24286,2445,10412,25334,388,1002,58078,9,11758,143751,289,531,11,4265,5238,2136,643,1591,881,4687,539,1678,2474,402,87,782,3233,0,9631,6,1780,1155,4222,21161,292,5121,1564,2740,21765,558,62,926,43829,9617,894,1152,79459,4121,1032,8957,8761,1363,0,440,276,374,2002,21599,1657,293,3766,1490,4063,4180
"Gosung",150,724,2798,59,11,369,10090,7,1810,6437,4528,165,86,115,1,4848,13,6645,16430,698,549,54,13,61,97,308,96,0,5449,2471,372,15728,115,260,103,772,411,292,303622,423,366,20,16,1076,11563,33808,35,145,352,28988,15114,12,8998,442,27,51,8,3663,2381,796,452,68,460,5152,324,310,299029,2,43,4557,40,0,2860,2,921,107,2643,297,53,2218,32730,19537,262,208,8,575,32339,3633,140,17872,312,1569,2810121,22,6315,269,0,1,80,6,442,183,10,233,90,572,767,2663
"Gumi",1472,22257,41249,14710,1144,121,114891,1538,19318,9919,146981,401036,34127,3470,23488,165514,2007,4933203,272750,864,10977,225,525,467,2321,17501,1985,27,4101,5268,410962,25525,1235,97,28785,30,7909,26995,298,217055,10474,1676,381,31243,18980,7179,143894,201603,4718,2011,71400,19,1825,2225,1385,1692,216,65782,23735,308,1329,247,6369,22480,64,7883,6536,46791,269,419,37340,0,3073,7,11431,15974,70239,200759,2505,50656,4395,1030,348066,7639,2375,18133,349748,56887,361,2613,29198,43695,4209,193816,7979,5996,2,114271,1635,51,14885,126789,57091,122,643,15776,31103,57862
"Gunpo",7356,637263,61865,1782,10441,3008,6963,1356,1487,949,48844,2188,26888,751,451,32372,518,24964,41303,347,38798,6983,12916,231,111511,56481,24594,1,386,2085,3832,3079,1490,2195,7586,278,11222,617,415,9147,1699,10365,217,2418,12463,628,6014,1721,489,455,7976,1024,1688,82,17737,1555,9348,111652,4682,651,1398,27221,1957,6203,131,9786,2264,1409,6663,1580,5899,59,388,1,5024,1540,40579,4749,24591,74443,1136,698,21902,1289,5415,19768,2426755,1796204,16,2414,847,889458,2028,7802,5526,71818,1,5547,10058,335,48500,1704,707,1262,15422,7773,117013,799196
"Gunsan",25,49086,28109,665,455542,121660,345,73552,50,91,66255,581,35,265,30,15731,12683,3729,67425,8364,68952,37,260,12,5728,2374,1923,0,11,259,795,283,14519,154773,22,5293,70263,187,32,2330,13594,40684,9,729,294409,9329,1618,763,106,1140,230,44755,7,5,352,211,112459,186624,31,6,23999,168,135,90,1,2601,125,57,180401,68,72,1518,364,0,106,791,31887,1804,318,111790,210,8,2804,75393,150614,123320,617802,177324,356,39249,146,19487,181,2466,39,1269,0,101,255,0,1168,1790,212,48076,12,14647,2247,28955
"Gunwi",40786,271,61,8,2,2,4646,7,1627,554,111,113570,18,3539,1410,105,4,610550,556,43,21,22524,38,14376,16,36,371,119,473,16,241,1111,6,9,14,3,15,2305,7,307,204,3,170,370,718,351,4270,8317,14,75,3799,1,119,225,1052,1008,1,89,59,36,14,5313,18,115,10,7,324,2782,2,3,5,0,162,126,27,29,32,3789,482,46,198,50,45,11,8,18,3956,424,16,123,97,436,94,6356,126,5414,13,4557,256,3251,170,2351,26,14,21354,38,301,401
"Gwangjoo",14693,3701,321198,6889,935,168,24852,241,6205,3590,7600,4952,86103,665,1166,260889,73,83486,154578,517,1940,11100,22507,468,1254,322790,50687,10,877,7750,10839,11191,1681,126,20442,423,898,6081,855,31460,3583,953,310,375503,28078,3209,15871,5679,3697,1642,18713,78,4030,231,39579,941,603,7817,11657,4398,3604,54182,8938,14349,302,86286,5618,5070,913,4644,16345,7,1568,18,7303,6509,5019,11988,47784,4942,3190,2063,61216,962,451,1420,7252868,4601,35,3391,3885,11557,5286,22268,11619,188697,4,15215,16324,798,184883,5269,2359,169,22843,360,618504,48922
"Gwangju",5366,38226,102671,3820,54767,223564,155068,11831,8001,60016,220175,5708,334,6367,272,173908,2336,195773,455088,1035480,35994,1137,2938,1154,3083,15656,8788,7,39802,8721,9730,177614,401668,433787,221,1960951,77958,20532,9407,17448,14084,286371,777,23264,123612,452537,10105,8101,26371,51338,144416,629420,27782,7800,3447,4190,28333,154905,180716,89967,864314,2005,782340,528006,2586,14080,72906,55,3234329,15537,707,524014,415040,3,213929,6000,99802,15355,5361,104359,56121,11960,8120,13470,20047,39385,940945,134251,198572,2229295,10660,46860,60058,858,416469,19189,0,44,4807,250,14317,7945,1888,20036,3034,20528,39026,90462
