"","Andong","Ansan","Anseong","Boeun","Boryeong","Bosung","Buan","Busan","Buyeo","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungdo","Chungju","Chungyang","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangjin","Gangneung","Gapyeong","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Goheung","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gurye","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Imsil","Jangheung","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jinan","Jincheon","Jinju","Milyang","Muan","Muju","Munkyeong","Naju","Namwon","Namyangju","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Sejong","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Sungju","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangpyeong","Yangsan","Yangyang","Yechun","Yeoju","Yeongam","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yesan","Yicheon","Yongin"
"Gumi",998,19277,38110,17378,1568,4,64,126130,2039,37537,14600,166625,459228,34828,3128,31302,185324,2431,4687797,290149,1166,14617,198,445,335,2271,13190,1,1979,7,7431,5388,541618,36702,1586,135,35808,0,77,10691,46517,426,224149,10861,1701,250,211,25234,27712,21084,158075,226228,4397,4271,138373,16,2503,3896,1397,2141,139,61528,23840,189,0,343,2024,208,6815,28404,145,9226,14652,56385,484,252,36273,0,3775,5,12491,21743,74509,220932,2470,50703,11414,1757,295678,15954,2643,15206,338002,48836,574,2701,30115,51143,5096,211619,8583,4170,10809,115084,1534,41,19308,0,126920,66026,197,386,20938,24561,60043
"Gunpo",8027,607926,63723,1295,9910,0,2567,7865,1310,2005,948,48125,4076,30020,374,345,29243,481,24140,35799,246,39064,7821,16299,162,136254,45177,1,25694,1,246,2421,3278,4032,1249,1611,8608,0,73,12091,552,274,7465,2288,8765,111,522,3353,10288,3461,6388,1801,504,285,7833,930,1416,75,18944,1337,7972,129049,3801,1062,0,309,1888,31599,1413,5546,226,10585,2739,2189,6789,1276,5625,20,452,4,4241,1498,40701,4431,24744,73449,782,668,22652,1515,4483,18897,2583610,1817547,97,1304,747,952459,1499,8496,2780,73332,616,6192,7763,252,54667,1,1933,546,958,15969,8533,144656,716209
"Gunsan",22,25463,28864,791,490496,2,113749,140,102979,19,42,80721,376,761,216,37,16963,15377,3733,70572,10050,76801,18,323,13,4476,174,9,1043,0,7,171,975,109,13964,163206,14,1,3555,96506,43,3,2361,13216,32071,9,53,654,334620,1062,996,430,70,227,115,41125,6,2,304,214,117850,155119,56,8,3,4,33994,141,166,138,2,2818,37,52,184745,42,58,654,82,2,86,804,34867,1468,295,95162,62,2,3515,98835,141870,159789,560444,89069,112,9341,107,20002,46,1393,83,1066,149,23,231,0,745,2,536,356,48566,1,17794,2443,34736
"Gunwi",48361,155,25,4,1,0,3,4680,2,3127,636,53,130865,12,2555,1520,70,10,616991,511,117,13,41461,40,15755,15,11,0,483,110,1226,11,216,1770,8,23,11,0,5,9,7543,22,228,132,5,122,7,203,1522,1435,3990,9026,16,200,7752,0,368,436,1177,1209,0,79,47,4,0,88,55,9293,28,153,35,10,810,3141,3,11,8,0,280,143,21,26,51,3128,607,23,623,149,33,19,36,17,3149,329,65,162,231,425,105,5310,192,6122,138,4363,260,2320,224,0,1903,33,26,23713,57,140,422
"Gurye",118,643,5863,146,18,6,1254,2588,1,212,1166,15480,109,111,192,3,7312,15,2112,21487,11505,1737,39,49,37,127,48,2,191,0,469,193,99,3806,64,1932,11,1,163,7221,226,333,216,526,22,10,5018,1145,112521,144129,124,60,1147,3963,4788,27,721,302,222,155,6,7045,8922,12951,5,906,2644,37,1605,27983,86,763,2755,1,45,222,27,0,33014,0,11823,161,6647,367,139,4204,2864,350,331,1359,10,1028,49785,2595,8892,54301,57,3160,1666,13,52521,639,136,1,115,4,470,3,113,16,1403,97,1889,1317,6655
"Gwangjoo",13399,4723,313106,6372,687,0,109,26395,204,5658,3231,6181,6924,83874,404,1244,253694,65,78108,140197,538,1729,9415,24863,375,1972,156439,0,48738,10,621,7201,10416,13354,1514,119,19301,2,117,896,4992,916,25615,6027,608,203,1097,430299,24683,6492,13998,6018,2943,1197,19929,54,4063,275,34212,813,435,13382,10639,2363,1,2108,3155,55284,7815,13759,598,87440,5470,7024,850,4821,13167,0,1621,52,7196,6563,9857,10985,38640,6234,3826,2985,56022,1209,275,1054,7383292,4648,219,2734,3409,17964,4905,22905,7748,169561,573,16842,12030,511,165346,0,4589,2315,128,19659,337,724906,70677
"Gwangju",10419,22064,91943,4003,62050,619,252545,143431,15318,8675,55566,202634,11211,4047,6109,441,176082,2623,199349,475282,1084084,57612,1218,2665,2617,2867,1502,108,7742,1,37775,8368,10910,177385,387847,580093,203,21,2071426,104152,19567,9227,24322,12025,316974,1276,118834,21972,508784,510650,18465,16938,28806,61127,152132,918647,32416,9875,3528,5076,31856,153416,163076,50714,160,103068,870422,1208,769335,442509,3598,23169,67291,48,3808944,14095,511,424274,460846,3,190486,6191,87935,35745,5827,106638,59798,18665,12884,39283,22530,63929,849884,77699,287972,2336754,9366,42285,55520,774,587702,18068,2522,52,3741,260,15473,239,16345,2125,25747,5447,28546,41065,88815
"Gwangyang",10682,4347,40088,1586,758,382,4529,411069,35,33347,157347,103102,13455,1769,1640,31,60902,99,191704,133343,22949,11921,12328,449,2620,851,520,193,2349,3,9765,5888,12469,478360,732,6076,1287,360,41277,47803,3525,41730,22556,3484,870,1415,134563,7463,455342,786143,2249,14083,7398,354552,397516,201,11163,1961,1138,1595,305,46834,67403,56164,242,19561,26933,3853,12503,187813,652,10708,326249,13,69,13569,1134,0,119063,1,78023,1577,44141,67675,1391,27880,312485,34790,6957,10828,273,7364,319265,17271,7851,807564,7317,20872,143028,165,351434,5452,954,54,1081,426,4065,362,16748,169,4411,7217,12548,10271,44103
"Gyeongju",33906,14319,16281,3487,380,1,113,1656807,841,6420,217,84222,142138,14195,6688,32059,50581,891,1960009,107793,1261,10953,8777,15,5665,961,7160,1,279,165,12148,1565,32023,96644,555,386,13388,2,24,5427,22101,48,137985,4204,815,3425,90,10509,18045,2543,265945,307642,2261,354,2666,0,2744,5060,2157,2680,26,24223,16226,146,0,950,1037,10137,1562,11298,939,5470,754,115742,15,296,7206,0,4169,158,4524,9179,21643,521,1410,31546,708,885,26129,5908,741,10839,194010,28877,659,371,1506,21639,33,1295129,10541,15638,6593,943025,237,1895,7874,0,180544,7987,335,18927,11500,7790,31306
"Gyeongsan",34595,6097,7156,1493,116,0,56,87547,319,16271,827,27636,343885,8813,1757,19538,20923,399,4047342,39479,1061,2582,3021,15,12072,434,3329,0,499,51,13434,767,41261,6262,384,285,5177,0,36,1594,62384,161,229748,2437,308,11022,42,5816,17466,9595,326124,2453,763,1872,27276,3,2461,4494,673,917,16,9252,5174,61,0,610,650,4677,1523,7903,408,3616,5073,87293,8,125,3601,0,2805,37,4225,4348,7934,13718,679,16206,6156,1398,22817,2723,297,3956,58137,13223,428,1164,3773,7803,565,231815,3743,4127,1657,67803,292,1128,2991,0,251866,5276,143,15453,4961,6210,8270
"Gyeryong",18,578,7745,1386,139,3,3,2960,64,630,345,11565,1085,615,1227,152,72690,315,15457,458310,517,2547,14,630,10,92,232,0,2183,0,112,17396,3335,1175,2712,85,19,0,121,3734,390,281,3736,520,26,3,981,2545,30356,8720,2800,1353,6047,384,5963,31,954,56,470,1096,26,4887,37395,2797,0,847,4340,67,14320,37187,1016,5404,4626,668,714,5797,71,0,982,0,63722,10221,5000,3894,339,3542,1546,840,14785,7064,165,2752,49540,2292,180,2277,510,3222,1274,3479,21664,5511,346,3098,433,0,1417,0,922,2184,166,1,7768,4432,7102
"Hadong",1921,395,2721,130,264,22,1202,178163,8,17239,76382,5756,3298,275,344,9,5301,6,61028,15194,4561,581,7333,14,416,71,67,7,179,0,4388,2208,2113,221780,132,1269,444,6,4655,1779,1030,26362,4026,282,205,237,3769,1157,55352,310101,508,2652,411,129914,309438,17,8457,741,169,180,90,3583,5439,1476,5,1236,1393,879,1505,48676,576,447,675880,2,16,3485,219,0,4292,2,2783,109,2884,13757,108,1819,377753,29667,1220,552,74,384,30798,1573,614,79465,1834,1623,61254,54,12326,660,109,25,110,59,296,5,3557,27,615,1080,539,677,3264
"Haman",45322,14510,24409,5603,99,4,4343,525371,103,988873,618640,72806,72088,18731,8249,63,59993,371,1211943,140648,11573,11272,14700,183,12465,1915,8788,7,3561,68,62770,12430,66819,918786,1813,5736,19795,3,9894,4245,50911,12736,123287,9274,118,6407,5023,18019,146827,396323,3050,25889,5606,302811,5951272,38,74171,32708,3512,6204,70,30731,27390,2099,5,7265,5702,15893,8014,370104,8111,5223,1652905,45,60,21548,11946,0,20479,33,8283,4893,28559,42076,3548,33656,736637,213862,46088,8776,44,15117,323356,45047,2461,82279,51773,32869,28512,264,75833,16042,10946,167,2690,2044,14203,7,27958,5817,2850,25319,10723,15009,35379
"Hampyeong",8,1425,1556,11,3475,12,18592,45,971,5,18,4110,2,10,15,0,317,220,78,973,223,2588,0,9,1,457,10,4,28,0,24,18,18,41,10905,38713,1,0,504,3585,18,4,17,893,40524,0,74,44,806344,123,2,2,34,25,44,5626,13,8,9,15,1825,10735,117,156,10,36,796,5,307,301,16,73,10,0,329012,12,2,19034,275,0,92,8,1805,11,16,4959,15,4,34,1067,1895,2498,40327,4374,92,268,8,1265,17,7,657,63,10,0,11,0,34,9,8,2,14137,1,594,118,1822
"Hamyang",1198,4513,11254,138,13,0,543,30334,13,3691,14588,16540,2233,201,375,170,21891,52,54777,77343,3191,1725,329,44,348,221,122,0,417,0,58121,15504,745,43034,2109,871,80,1,67,1869,10406,8695,2071,1352,6,245,726,4298,34312,12306,2763,2137,880,8737,75873,12,160428,7846,331,297,10,11826,18649,326,0,41716,803,359,3073,27231,16769,2501,151958,106,81,26887,131,0,42278,0,4310,305,11554,3594,201,8086,36457,77076,653,2911,8,1029,103244,6235,3149,2931,1542,6183,19885,1659,60741,1061,244,20,142,34,925,0,1944,26,418,703,2174,2939,14293
"Hapcheon",2031,191,443,85,3,0,39,12989,2,16573,6939,648,3493,267,126,349,914,8,288068,2520,707,63,370,6,527,19,140,0,77,1,58124,315,2032,17884,52,180,312,0,16,163,170416,410,3094,91,2,425,186,242,6871,1779,5575,4061,61,613,31156,3,5614,6266,35,66,2,330,752,35,0,536,199,247,207,945,542,78,2470,535,11,287,208,0,4152,2,182,48,311,5611,55,254,1598,4013,933,98,0,52,4227,371,453,513,3528,453,2118,6771,3290,257,218,405,32,40,231,0,3933,73,86,785,145,198,541
"Hoengsung",7996,23486,23472,326,333,0,21,3672,37,659,335,3714,3089,1284,504424,272,17595,20,17469,18211,161,1210,8967,125124,1174,4118,10860,0,334374,26850,187,694,443,773,155,15,679,0,7,264,399,16,1038,24744,206,1408,163,35663,3849,1095,2609,585,393,131,3595,13,695,41,166980,78101,250,19057,1883,219,0,103,392,62627,1357,2095,65,4541,529,1381,168,313,311,0,119,65509,1398,413,9696,1435,341097,4460,271,177,1342,135,79,967,442392,62261,32,346,132,96138,251,7160,1161,727313,8756,3973,41861,1019,65265,0,513,99,23,12034,350,45406,102727
"Hongcheon",8541,1631,13926,467,207,0,18,4202,49,787,495,2221,4816,1188,1755158,360,21668,10,25838,27176,76,431,8345,1878,1077,530,8380,0,3920,86926,216,800,762,1096,263,15,833,0,18,196,781,53,1814,1444,128,1524,175,906,5387,1587,3172,893,1504,159,6306,23,294,75,77287,29774,119,3000,2464,315,0,212,741,47497,1052,3503,101,4661,2481,1920,319,356,378,0,200,274952,1549,732,2120,1751,2500,1218,557,314,1867,172,57,421,1909606,2502,36,790,207,11864,397,5508,1648,286235,26022,4480,718,1387,20711,0,712,143,26,10758,168,16936,25738
"Hongsung",11,13295,27985,42,170305,0,12467,178,853,37,16,816,40,1810,179,14,1930,42,755,5121,1014,94649,24,201,1,21276,1022,4,358,1,3,104,149,63,4416,5956,73,0,485,1095,5,2,293,13960,108821,0,21,366,30120,435,98,26,46,99,109,1502,18,1,197,126,61,142661,36,9,0,4,1888,130,22,58,1,3262,43,27,16860,48,23,80,26,1,152,84,3698,108,230,158319,45,12,228,2319,45118,83692,403865,45304,31,2927,11,21323,48,210,24,1215,141,94,159,0,788,1,52,42,2979,39,2298,1482,5006
"Hwaseong",8737,455215,1370007,25709,179011,0,43617,54128,23521,10407,6777,1539209,12011,35273,1626,2569,524544,7975,148672,520680,5215,900453,7674,24749,204,58257,68663,14,32015,4,2292,28408,35893,19971,21861,29139,7762,1,1880,214764,4905,4121,89270,109676,167664,85,9030,14168,200870,60793,35397,11996,7289,4870,46932,10579,17672,536,24957,4034,148914,9343214,67289,18771,5,7574,21902,37880,25029,98474,3726,284357,27322,10409,101744,21568,5149,418,8130,7,76004,23963,4573357,24150,34950,3849528,14627,11547,41531,28751,67547,412411,8385969,1373469,1739,23400,5915,461685,23131,59700,49299,95015,3018,30800,12856,253,88266,7,11784,9718,19512,16350,145608,256947,1708997
"Iksan",142,4472,47996,3041,26,2,22,33769,20,1956,10993,107330,6667,2901,2442,347,140773,104,44565,577473,1998,11992,88,1463,87,870,754,1,3004,0,1994,7394,12403,29886,56880,446,65,2,410,49746,4185,2520,24199,3625,57,24,11694,11301,165357,74965,17376,5294,36344,3835,32010,171,17655,1002,1965,2290,22,48689,23190,52404,3,37631,25659,370,92094,83748,45710,19805,15224,451,1973,37323,194,2,14237,1,121793,9127,46123,9166,2133,28788,8141,11940,17271,17765,28,7051,344695,17721,752,22087,2056,21743,9725,21159,145454,9151,1151,154,1417,2,6954,0,6554,3413,526,23,13091,21155,46257
"Imsil",33,1338,12495,357,6,4,88,1329,3,93,610,31816,50,334,417,8,18486,31,1118,52207,3707,3575,7,120,18,261,125,1,422,0,308,174,131,1703,182,1589,6,1,55,14816,138,122,176,1082,9,1,13606,2656,57026,66596,148,39,3026,1657,1638,42,405,121,315,300,6,14507,50680,39883,0,382,1535,39,477,221984,1234,2667,720,9,86,342,7,0,24942,0,28766,427,13685,249,364,8596,868,271,750,3375,4,2104,102920,5315,4357,18923,28,6502,508,106,399581,1273,198,0,237,0,2072,1,95,40,589,33,3901,2890,13620
"Jangheung",0,0,0,0,0,144692,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,19016,1,0,0,0,0,1,0,2,0,4,9,0,0,0,0,0,2,0,1,0,21,3,0,0,0,0,2,1,0,0,1,0,0,2,1,0,11540,0,5,0,7,1,0,0,0,0,32,0,0,0,3,0,0,0,0,0,1,2,4,0,0,1,1,1,11,1,0,271004,0,0,0,0,2,0,0,0,0,0,0,169050,0,0,0,0,0,0,0
"Jangsu",425,845,4013,68,1,1,128,6016,7,540,2387,6104,311,135,310,26,10313,15,11475,49801,6697,377,80,61,102,122,64,0,164,0,3092,24883,177,7346,2616,993,17,1,47,884,1725,938,296,373,8,51,1005,2192,98549,19780,997,535,701,683,8135,38,41447,1086,99,188,1,5591,35340,481,1,1485,1487,35,5210,25535,27310,1201,7120,21,190,145856,24,0,186006,0,3368,337,4375,1253,121,3259,3634,7391,274,962,1,222,40306,2602,7009,7191,470,2582,3944,618,254585,496,152,4,93,13,671,0,583,37,404,194,489,1473,4302
"Jangsung",303,2188,12099,786,5486,32,25071,4085,1572,438,2450,23827,1170,508,772,23,25444,439,10489,60423,14206,6145,14,466,94,316,212,2,959,0,1245,928,1746,6475,64678,78243,16,1,27510,13368,783,298,2121,1866,38994,53,2836,3783,648725,19940,713,1283,4772,1773,5026,1064,800,391,415,925,2425,18781,25321,1504,9,1686,63103,73,178730,55006,742,4175,2500,2,10234,1421,42,5,12410,2,25319,1164,10295,1318,494,11671,2611,597,2518,3624,2447,6071,106848,8050,3159,57610,559,4984,1024,42,70743,2069,430,1,346,3,1756,12,688,352,6467,155,3761,10497,10466
"Jecheon",88068,34184,2710,33,356,0,14,14209,18,2763,1886,1535,29319,116,145131,1053,1847,10,105825,3254,50,876,249018,4670,7032,5514,1407,0,24466,8943,1109,59,49,3664,27,8,57,1,7,143,2460,72,117,36958,127,10389,29,55600,1298,3616,10808,4370,83,933,14425,4,310,271,56867,48903,220,27586,383,24,0,32,73,159353,190,829,14,405,1933,5449,70,38,6,0,328,15229,185,49,12792,6560,12887,3124,1180,236,16,60,40,724,740445,102414,28,512,198,133225,545,22175,326,1107709,12668,13168,9509,10019,64120,0,3011,15,16,301576,145,42668,101793
"Jeongeup",74,1547,20269,1987,18,4,78,6029,7,808,3078,36344,712,1698,1085,82,72587,33,11909,212875,9321,4045,26,1134,57,302,523,1,2007,0,657,4914,6292,9480,171494,1377,47,1,13251,16770,1014,680,7245,1233,121,29,1821,6969,758767,13146,1533,1608,16368,1916,9000,466,3044,447,1176,1041,9,16599,89648,378,1,5240,173094,169,90834,249228,7080,10041,3686,31,3198,7923,106,9,7959,0,49642,6676,15743,2165,1591,9817,2824,1529,8380,5212,14,2366,132645,6140,1081,43075,462,7433,2187,892,288428,6179,640,7,770,3,5120,1,995,1230,1170,21,4395,11072,15921
"Jeongju",913,6493,62040,3334,43,5,311,118398,28,20180,80887,154551,8256,3525,3607,271,155048,152,62125,736639,5758,17441,247,1875,336,1253,1013,1,4488,2,4637,8778,15348,160686,104210,1699,253,2,1824,70954,4006,5421,29124,5207,75,171,28930,12867,410589,184525,10910,7578,36911,46563,391719,410,26049,1334,2136,2666,31,70235,82424,203652,4,24653,52669,766,247562,45009,23813,17376,119424,280,4964,28017,276,6,48067,2,151338,11042,66304,13969,2878,41764,99457,41852,17426,27804,50,10237,494790,26209,2409,58110,2325,31337,19309,15830,90841,10326,1611,129,1874,34,8962,1,9786,2840,1361,402,19046,22680,66527
"Jinan",247,259,2533,25,3,0,4,4286,1,555,2045,5935,278,72,114,34,5162,8,8451,19131,135,655,11,45,44,49,29,0,115,0,1460,3068,75,6424,2505,43,9,1,8,2678,2076,800,134,206,1,36,129,584,3766,806,910,339,1028,448,8253,12,16562,1253,88,96,1,2752,38098,939,0,27845,611,17,6134,22404,6962,419,5296,19,135,23692,8,0,1491,0,6509,130,2595,1233,79,1626,2579,5731,238,723,0,384,20468,1056,133,256,208,1246,3096,703,109833,566,72,5,41,4,237,0,489,13,74,102,727,535,2608
"Jincheon",53,18273,523360,12421,3891,0,151,13067,606,2633,1665,8089,4146,19400,5277,319,771028,220,26641,281963,452,35706,194,3601,3,5934,17966,0,6547,2,276,8745,5971,4992,1874,100,867,0,76,1195,2114,566,10785,11732,3566,3,773,82553,30665,9269,6468,3886,5407,455,6852,74,3005,56,4516,3879,2923,195785,20975,2866,0,988,4692,651,11526,18839,411,19686,4051,2190,1089,2828,404,5,1473,5,10935,10254,182697,2501,3800,292393,2306,2584,7306,1339,1554,12109,643206,52593,159,2636,1886,60699,1988,12624,10290,19861,2910,9464,2740,5,23027,0,2639,2903,159,177,1763,84339,104769
"Jinju",4667,2272,12730,282,42,3,1461,404772,16,84040,286000,26976,6606,1222,1364,19,31300,38,141293,100954,6340,3178,1535,65,1033,280,320,3,841,3,53415,14593,5621,645443,871,2820,1665,3,6286,2575,2415,290997,12936,2093,28,780,3072,5096,74831,375437,815,4697,4414,738217,1686436,29,158955,2461,487,1755,24,17732,14940,763,1,7029,2608,1910,3915,149491,5465,3313,461258,10,25,26431,786,0,21482,5,4943,553,18094,12583,611,9629,2389393,317359,3641,4942,18,2486,158566,10090,1860,74686,3111,9021,564573,126,42675,2759,585,85,439,175,1826,2,4929,104,2042,2498,3718,4079,17827
"Milyang",33,9,8,0,0,0,0,518554,0,3,329,33,98,9,6,416096,27,0,1551694,79,0,6,16,0,7,0,6,0,4,0,9,2,10,146182,0,1,14,0,1,0,2,0,85,0,0,1,0,8,4,56,118377,614,0,5,26,0,2,0,0,6,0,11,1,0,0,0,0,21,1,2,0,2,34,2329209,0,2,4,0,5,0,1,2,14,12,2,8,20,0,10,1,0,2,222,27,0,11,0,19,4,325314,4,16,4,812016,2,0,3,0,6558,1,0,24,1,2,26
"Muan",24,13621,20870,258,34986,117,82889,102,9097,19,31,56139,40,261,182,1,6250,2260,488,16304,1226,27877,15,187,5,4828,131,497,386,0,113,240,339,86,62288,338189,15,1,818,38414,62,9,451,11694,181955,7,71,684,3355775,90,22,26,726,26,71,351908,79,24,201,226,18686,95349,1458,118,199,206,11125,79,2278,3990,160,943,28,2,1237927,292,36,59486,717,3,951,249,24499,117,232,49825,31,29,532,17235,21421,26515,409003,49674,270,822,23,15633,22,10,5838,728,138,0,153,2,693,187,25,65,91456,17,5728,1454,24756
"Muju",26,1658,11493,210,155,4,8,10506,190,516,3666,25282,54,305,481,13,42740,818,3468,539152,956,3026,9,151,8,305,150,0,405,0,1281,107643,191,13199,2612,87,13,0,23,4236,566,3779,276,1461,16,3,266,4804,15864,13312,230,124,4559,3346,20047,19,28151,373,363,359,35,16896,36369,314,0,143613,1045,45,7695,27842,28849,2917,25107,18,304,38112,17,0,5352,1,4876,3677,12094,383,492,9784,11431,15085,395,8171,115,2455,108938,7722,554,2191,54,7992,15850,256,184675,1145,248,8,182,1,1155,2,131,74,186,10,6200,2760,13013
"Munkyeong",12,5508,2880,1144,24,0,7,12405,18,3671,1651,411,5644,24862,762,843,1199,11,75570,2820,28,539,9,248,7,883,12381,0,643,3,351,38,9148,4493,24,2,20799,0,1,28,2610,17,34930,6333,36,4,19,11856,573,956,10105,3587,59,245,13162,2,137,206,330,350,30,3801,244,7,0,31,36,19,122,324,6,529,822,2591,22,5,101,0,199,0,91,71,2255,7128,398,2685,559,108,104692,28,21,309,130900,16723,23,143,3954,22169,199,11271,125,1003,8588,6628,294,1,8746,0,3598,456,4,6,76,9831,16090
"Naju",0,124,43,0,316,14,834,2,67,1,0,108,0,0,0,0,7,13,2,23,5,169,0,0,0,18,2,2,2,0,1,0,0,0,544,857,0,0,28,190,0,0,0,60,1219,0,0,3,421118,3,0,0,1,1,2,23182,1,0,0,1,210,707,3,0,2,1,25,0,15,24,0,1,2,0,69890,1,0,10376,1,0,1,0,51,0,1,511,1,0,3,48,125,209,2202,329,1,35,0,57,0,0,14,1,4,0,0,0,5,16,0,0,540,0,36,8,50
"Namwon",2375,618,6649,125,50,5,5037,15783,3,1925,7909,11659,2635,192,268,188,8833,11,64380,25409,40138,1130,557,65,760,121,62,3,264,0,27240,2605,1583,24740,137,11261,115,3,305,4554,9301,3149,3365,485,47,286,32183,1858,445254,116315,4741,2554,886,3915,22349,127,43446,8138,130,207,23,6562,12640,23854,2,188042,9830,382,11212,46214,1507,1504,19780,104,500,5561,239,3,280219,1,8095,179,5450,7604,175,3735,8356,20746,1374,1291,18,644,47311,3297,69690,42675,2177,2927,8977,2549,88654,615,153,25,105,134,570,0,3040,24,3178,1620,1279,1407,5883
"Namyangju",1,18,2,0,0,0,0,4,0,1,0,0,2,3,818728,0,3,0,9,10,0,0,9,7,0,0,14,1,16,257892,0,0,0,2,0,1,1,0,0,0,0,0,0,1,2,0,0,26,1,1,0,0,0,0,1,0,0,0,185,211,0,15,0,0,0,0,0,50,0,2,0,0,1,0,4,1,0,0,1,0,0,0,11,0,24,4,0,0,0,0,0,0,4599071,10,0,4,0,3,1,0,0,84,304137,1,4,1,6,0,0,0,0,2,0,0,17
"Nonsan",93,5774,47348,2629,143,1,17,7892,56,754,2606,124132,4049,1575,1768,264,83128,243,33011,705965,4033,24517,45,1007,34,1039,523,0,1996,1,676,13739,10029,7082,16897,275,36,0,646,115469,1592,831,13437,4456,68,12,10651,6862,175120,78969,5314,4543,59288,2411,8757,131,4354,234,1027,1483,145,58686,112960,27840,0,3705,23203,190,48931,143193,6542,9955,5528,1151,1381,5207,98,1,7574,0,39739,9524,53013,5734,955,34252,3026,2912,20715,14839,138,16929,377810,22731,1692,24572,1332,24924,2932,7674,87479,5417,689,2018,737,0,3911,0,3589,3718,326,7,54910,12969,52717
"Okchun",75,4274,30303,458,1333,0,29,15844,2520,4139,1259,76465,6063,1449,1872,550,387871,2891,46857,1548673,195,8171,32,1081,35,1099,531,0,1945,1,311,16076,35326,5730,1435,34,56,0,34,18769,1905,689,25672,3791,1147,33,247,12014,16608,3442,15379,5400,15794,647,7717,15,1889,75,1160,1163,66,27950,14822,603,1,1330,4300,83,8966,17766,311,16972,3782,2512,771,9347,115,0,626,3,16371,83480,21924,7260,873,23247,2949,1660,2902,46649,1859,7169,169842,13208,65,1417,2670,12433,5178,13143,6246,5110,837,6708,491,0,4283,1,4930,65256,79,4,21008,7518,19004
"Osan",1825,61138,737892,9147,6927,1,4493,18882,7320,4287,2113,669398,6872,11193,851,859,219243,2604,60972,214533,1213,28428,1881,5580,30,19100,18789,2,12626,3,774,9857,16532,12094,4233,3165,2070,0,240,80065,1618,1372,53529,38987,18109,7,3493,5791,49896,23377,16327,4273,2554,1665,20600,849,5185,174,6677,1696,5282,7333948,26113,7271,0,2759,5096,9278,9854,38065,1468,123463,8112,3902,12455,7019,1413,14,2945,6,28188,9099,141569,7234,7897,2445933,4332,4078,17834,9252,5447,14036,2610076,221626,659,8122,2190,231044,6525,21049,19115,31308,1008,11373,3969,58,26684,1,3940,3485,2022,3143,5803,67617,779636
"Pohang",16692,10140,12348,4083,506,1,231,1456,1283,23318,1182,40984,178174,12837,6336,22629,50100,1325,2932232,115847,2278,23913,7943,21,4978,860,6485,0,111,201,16034,1956,47274,662,1436,947,16068,0,158,4634,44605,470,239159,4566,1720,3126,287,10304,38677,63647,546,12890,3966,8893,41970,11,3742,5690,1749,1862,74,18456,10339,234,1,1257,1466,7690,2767,18882,1182,5442,13287,27414,64,435,7670,0,7427,143,6392,5840,13802,847505,837,15070,11309,2395,35135,5861,1174,6123,200233,27024,1245,6045,1937,21779,1086,982,12195,8800,6279,1645,55,1366,8172,0,432036,11995,1086,13447,10776,7132,21243
"Pyeongchang",5159,17382,20367,369,411,0,30,2773,48,633,330,5652,3956,1441,9710,234,19161,18,22409,22278,161,1276,3250,125609,663,4002,8324,0,1047410,1210,141,438,529,754,155,30,783,0,11,283,390,33,1409,27867,237,1013,132,34854,6863,1322,1482,556,275,104,3483,20,205,58,327215,2779,233,23929,1995,302,0,122,304,11380,1416,2819,92,3504,538,1292,228,515,382,0,179,2827,831,373,9849,480,910856,4568,246,145,1500,165,70,1088,567700,66691,24,427,147,106643,219,3479,1379,427435,10113,2868,168067,703,73578,0,387,73,31,6157,307,40239,102503
"Pyeongtaek",280,195100,1117590,14977,219479,1,24635,45709,11386,10939,5642,615940,17856,39779,519,1475,354874,3840,102080,276814,2860,1292530,407,2778,7,61632,39818,12,2479,0,1229,16045,24162,18000,10949,14742,4170,0,885,86803,4185,1912,55093,87379,110667,11,3892,2512,121293,26166,32306,18285,3843,1930,43935,5723,7885,220,1661,733,179417,4810342,28697,8091,4,3029,12741,1263,10747,42407,1658,330599,11388,7837,54820,10245,3236,329,3531,1,33447,16241,2539179,19057,1914,1923258,7484,5694,30995,17332,63755,600315,2723188,472669,772,10424,5803,76205,8158,43890,21050,6466,725,22310,1119,11,4476,7,13960,5996,9803,446,151322,8201,144882
