"","Andong","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Danyang","Dongduchun","Donghae","Euijungbu","Euisung","Eumsung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gimje","Goyang","Gumi","Gunsan","Gwangju","Gwangmyung","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hongsung","Hwasoon","Iksan","Imsil","Jangsung","Jecheon","Jeongeup","Jeongju","Jeungpyung","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Chuncheon",0,0,211166,18,0,0,474,0,0,0,18939,0,0,1434,0,0,0,0,0,0,0,69628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,0,0,0,864,0,234,348,0,0,0,0,20,0,0,7,0,0,0,0,18939,0,0,0,1024617,0,0,69630,0,0,0,0,0,288,0,10,11,0,0
"Chungju",0,0,0,0,0,0,0,2105,0,50314,0,662,0,47334,0,0,0,0,0,7212,0,0,0,0,0,0,0,0,413,0,0,0,0,0,0,0,51,0,0,3,0,0,103297,1,0,2910,0,0,0,448,0,105,555,1,0,0,293,0,0,12573,0,9505,0,1884,167,0,0,0,0,0,0,0,30,0,0,0
"Daegu",4952,0,2349,0,0,1730083,253810,346997,483649,0,0,0,28411,706715,0,5,0,34,9673,0,30102,0,377568,41216,0,45104,1110560,0,0,742780,56,154017,520345,0,277,1033,0,0,0,0,0,360,126,59,0,0,1507,18732,227057,247,16383,0,0,426,9770,157392,47792,0,30102,26437,0,3527461,747,219658,14,119086,0,0,3872,0,168351,39655,6178,0,0,144
"Daejeon",0,102,0,23572,2025,935254,9570,847469,23215,64069,6258,47827,724787,60388,0,0,0,0,0,15677,0,0,140695,2079,30940,34864,197875,12223,100027,501761,10,11774,32280,38173,43,200,4965,3434,321,191431,2751,18030,80197,49149,38292,14293,188,0,63735,72751,0,9690,10813,257478,42763,3571,200357,6258,0,385078,25078,3394808,48595,680516,4296,14592,64,64,0,805,4012,289006,215,35742,283,360
"Danyang",4170,70,0,0,0,3168,458,37,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,75,0,0,0,0,0,1247,0,0,0,0,0,213,0,0,0,0,4859,0,0,0,0,0,2,0,0,0,0,0,0,757,0,0,0,0,0,19726,0,504,0,1833,4358,912,0,0,339,0,3879,0,47,0
"Dongduchun",0,0,0,0,0,0,19,0,0,0,0,0,5,0,0,39,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,31,96,0,0,0,0,32,0,0,0,0,0,37,0,0,0,0,0,0,11,0,0,0,0,0,0,503967,0,0,0,0,0,0
"Donghae",3000,0,2317,0,0,1242,538,171,20,327,0,475,4529,509,0,0,0,0,664,55,108,0,104,0,0,0,313,0,0,0,0,214,437,11,0,0,0,0,0,1,0,0,9121,238,259,29,0,2441,83,302,124,0,0,0,0,0,0,0,108,42,0,14398,292,250,11980,724,1516,689,171,0,406,0,9055,0,0,0
"Euijungbu",0,0,0,0,0,0,297,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,359,0,102,131,0,0,0,0,99,0,0,0,0,0,134,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,1,0
"Euisung",11135,0,303,0,0,7240,505,0,0,0,0,0,10440,0,202,0,0,0,1472,0,0,0,0,0,0,0,0,0,0,0,0,3481,3637,0,0,0,0,0,0,0,0,0,344,0,0,0,0,303,0,93,0,0,0,0,0,0,0,0,0,0,0,2706,0,0,0,5249,366,159,0,0,4647,0,2205,834,0,0
"Eumsung",0,0,0,0,0,0,0,636,0,2338,0,6447,0,14815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10016,0,0,1057,0,0,0,0,0,0,0,1,0,0,139,0,0,6172,0,1087,0,449,2,0,0,0,0,0,0,0,0,0,0,0
"Gangneung",4459,12,2151,52,0,4612,1155,183,657,222,214,600,7440,1167,0,0,0,0,682,83,611,0,452,0,26,0,736,0,1215,0,0,760,519,0,0,0,0,190,0,542,0,369,11905,88,0,440,0,2465,236,230,325,0,0,344,0,0,0,214,611,71,0,42461,600,640,22553,2056,3955,2869,119,0,635,0,6066,0,146,0
"Gapyeong",0,73,23599,57,0,0,0,78,0,414,76082,0,0,0,0,0,0,0,0,0,0,10519,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,243,0,0,0,0,0,58,0,0,0,0,0,19,0,0,89,0,0,0,0,76082,0,0,0,643194,322,0,10558,0,0,0,0,0,0,0,45,92,55,0
"Gimcheon",0,0,65,0,0,68123,5983,27822,24145,0,0,0,378556,131648,0,0,0,0,0,0,12619,0,0,632,0,0,156483,0,0,6386,138,3395,33002,0,23,69,0,140,0,0,0,0,0,27,0,0,432,7685,3947,230,7620,0,0,0,7149,1908,8573,0,12619,11006,0,179586,162,51368,170,6681,160,0,3331,0,1941,26480,5948,0,0,0
"Gimhae",0,0,0,0,143,27066,11147,938,212,0,0,0,41755,1819,0,0,0,0,0,0,0,0,630,298,0,0,2030,0,63,0,219,0,9054,0,1105,1784,15,0,11,0,0,0,0,0,0,0,5065,0,28749,234,0,15,0,0,33,0,357,0,0,458,0,5304,657,3359,0,0,0,0,0,0,0,135,88,0,0,0
"Gimje",0,0,0,0,399,3,0,11420,0,0,0,0,0,29579,0,0,0,0,0,0,0,0,0,0,5322,637,0,0,31559,5245,0,0,0,1812,0,0,1116,0,119,31557,0,6279,0,23506,0,0,0,0,0,8483,0,2032,0,7832,0,0,5746,0,0,4214,0,109351,311,33321,0,0,0,0,0,0,0,0,477,173,0,0
"Goyang",0,0,0,0,0,59339,0,11886,0,0,0,0,52091,43539,75,0,0,0,0,0,0,0,0,0,830,28784,0,0,12290,737,0,0,0,326,0,0,15,0,0,7597,0,900,0,3333,0,0,0,0,430,6416,0,955,0,3143,0,0,0,0,0,0,0,436507,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gumi",0,0,33,0,0,213929,10289,47766,63091,0,0,0,1081389,185774,0,0,0,0,0,0,14357,0,145098,1974,0,0,88,0,0,23240,125,5055,131404,0,42,141,0,113,0,0,0,0,4,27,0,0,560,7368,12801,142,7335,0,0,72,5818,2279,15401,0,14357,10504,0,300655,368,117277,0,10541,140,0,3679,0,5896,21465,3200,0,0,72
"Gunsan",0,9065,0,11981,0,0,0,16604,0,68,0,0,0,10815,0,392,0,109,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,1436,102,0,0,8429,0,17270,0,0,356,0,0,0,673,0,0,0,0,0,0,3784,0,0,4169,0,0,0,1302,47344,0,22192,0,0,0,0,0,149,0,0,0,0,6708,0
"Gwangju",0,0,0,0,44119,536,1012,39429,0,3,0,417,0,95305,0,0,0,0,0,0,0,0,0,79,32364,11962,0,0,1055,159329,196,0,0,7592,289,73,23691,0,3010,108207,0,13274,28,27687,0,0,779,0,25,218478,0,3836,0,26557,0,254,13248,0,0,14556,0,874056,4010,61751,882,0,0,0,0,0,0,358,0,1146,0,0
