"","Andong","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Danyang","Dongduchun","Donghae","Euijungbu","Euisung","Eumsung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gimje","Goyang","Gumi","Gunsan","Gwangju","Gwangmyung","Gwangyang","Gyeongju","Gyeongsan","Hadong","Haman","Hampyeong","Hongsung","Hwasoon","Iksan","Imsil","Jangsung","Jecheon","Jeongeup","Jeongju","Jeungpyung","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Jeungpyung",144,0,0,0,0,0,0,910,0,6092,0,1768,0,9527,239,0,158,0,0,420,411,0,0,0,15,0,0,0,4,0,0,0,0,0,0,0,0,0,16,0,4,12001,3,0,3,0,9,0,63,0,0,113,19,0,0,188,5,0,8518,0,2968,0,829,134,0,0,0,0,0,0,0,283,0,0,26
"Jinju",0,0,0,0,1451,17603,43562,1741,383,0,0,0,7974,962,71,0,0,0,0,0,778,0,1145,5292,0,0,1280,0,1017,0,4837,0,6579,40877,19705,51,0,109,885,62,0,0,171,982,0,14531,0,10035,807,0,46,243,123,27,492,2318,67,0,1971,0,5634,8544,2950,0,0,0,0,0,0,174,117,0,0,0,0
"Jungsun",0,0,39,0,0,14,0,114,0,18,0,50,0,61,0,0,686,0,0,61,1151,0,0,0,1,0,0,0,23,0,0,0,0,0,0,0,0,0,17,0,0,4431,0,0,10,0,30652,22,0,0,0,0,0,0,0,0,130,0,10,0,16916,0,0,1531,0,4104,968,0,0,0,0,43,0,0,712
"Milyang",288,0,15,0,160,854226,179161,24964,6981,0,0,0,251472,53186,0,0,57,0,0,0,388,0,6314,14949,0,71,19591,0,53,60765,119,0,69952,205,3683,6,0,11,0,0,0,192,0,0,0,9985,22,26187,111,719,3,0,0,438,0,3432,16,1080,3663,0,362344,354,16109,80,0,0,0,415,0,0,2552,1267,0,0,82
"Mokpo",0,0,0,0,2163,2441,1165,19688,0,245,0,197,0,72821,0,0,0,0,0,293,0,0,0,101,10707,6159,0,0,288074,43465,339,0,0,196,84,11523,0,6157,43732,24,12462,0,16452,90,63,736,0,56,1284,0,23291,176,12203,0,0,8007,0,0,6848,0,394234,5037,35208,0,0,0,0,0,0,0,0,0,1686,0,0
"Munkyeong",0,0,5,0,0,17409,0,0,1534,0,0,0,24193,0,0,0,90,0,0,0,612,0,9694,0,0,0,7487,0,0,0,0,0,3356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643,0,0,0,0,0,0,0,0,5,763,0,0,0,0,0,16,0,0,0,418,0,0,0,2655,0,0,0
"Naju",0,0,0,0,1401,339,101,4603,0,0,0,0,0,10474,0,0,0,0,0,0,0,0,0,30,3112,719,0,0,4235,10801,60,0,0,233,12,1905,0,421,9635,0,3430,0,3453,0,0,53,0,4,23467,0,166,0,3574,56,0,2416,0,0,1492,0,85923,1174,15505,0,0,0,0,0,0,0,29,0,355,0,0
"Namwon",0,0,0,0,0,0,0,6787,0,284,27,181,0,10674,0,0,0,0,0,102,54,0,0,0,0,0,0,0,0,0,48,0,0,1,0,0,0,0,43333,576,0,0,0,46289,113,228,0,0,176,0,0,1,2916,0,0,4048,0,0,2314,0,67031,22654,22442,0,0,0,0,0,0,25,0,0,22657,0,0
"Nonsan",0,0,513,0,775,0,67,51531,0,67,2801,13,162,193102,0,0,3,0,0,6,428,1959,0,0,8225,713,7,0,29789,9188,76,8,99,43,0,1413,0,180,42011,771,8277,214,10381,19440,3,161,0,0,11939,0,2977,3753,2533,0,0,15143,0,0,30225,0,242333,14711,71471,18,0,463,0,0,0,320,0,159,8925,0,5
"Okchun",0,0,660,0,0,8786,496,15124,967,0,0,0,10898,41901,0,0,0,0,0,0,4,0,8826,45,0,0,6691,0,0,0,0,92,1292,0,77,0,0,0,0,0,0,0,0,0,0,19,0,419,0,0,56,0,0,580,0,4336,0,0,6762,0,40617,65,16284,0,0,0,0,0,0,0,5956,0,0,0,0
