"","Andong","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Danyang","Donghae","Euijungbu","Euisung","Eumsung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gimje","Goyang","Gumi","Gunsan","Gwangju","Gwangmyung","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hongsung","Hwasoon","Iksan","Imsil","Jangsung","Jecheon","Jeongeup","Jeongju","Jeungpyung","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Pyeongtaek",1006,21807,0,21451,903,53808,6173,27397,4762,960,0,521,59304,202435,280,91,0,0,122,0,0,10936,464,5787,0,17360,0,15864,0,299,1561,5528,4246,76,203,1166,18342,113,25912,1141,2622,1024,7082,19489,277,925,0,2908,8310,0,2744,3670,15624,4060,1616,2890,0,0,66560,7694,686846,12499,156309,0,3644,12,0,0,0,497,7299,1491,7293,17148,0
"Samcheok",1093,0,1016,0,0,1592,0,49,5,25,0,123,3514,165,0,16936,0,180,3,20510,0,43,0,0,0,237,0,15,0,0,191,265,0,0,0,0,0,0,8,0,0,3695,0,0,8,0,189,16,0,10,0,0,21,0,0,0,1389,32,38,0,16732,0,0,1868,693,3590,384,0,0,481,0,2304,0,0,912
"Sangju",0,0,13,0,0,23391,0,0,1285,0,0,0,42249,0,0,93,0,0,0,715,0,14788,0,0,0,10687,0,0,0,0,0,5236,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,855,0,546,0,0,0,0,0,0,21,250,0,0,0,0,0,26,0,0,0,1193,0,0,0,3848,0,0,0
"Sejong",0,0,0,0,926,51090,6655,231500,4018,32480,0,13942,44627,340541,94,248,0,0,5483,1246,81,15980,636,5702,0,16770,0,14531,0,199,346,6663,4826,80,163,1106,0,146,29563,794,3975,40285,7155,16557,9011,697,0,3402,9388,0,1988,3161,33822,7679,19,62060,31,0,3618,0,490524,14052,209065,1482,1098,63,0,0,0,84,9584,218,9117,0,176
"Seocheon",0,22357,0,31066,0,0,0,33843,0,0,0,0,0,0,0,0,492,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7375,0,0,0,2335,143837,0,45836,0,0,0,0,0,68,0,0,0,0,18365,0
"Seoul",70379,285270,6745,292935,23755,4252701,100527,1661152,48866,3367,1584711,10255,3803369,3092918,27461,43731,26,1809,740,152107,813848,192701,7936,135984,468621,362139,0,892988,16399,5631,45696,61777,98216,3426,4288,34633,268067,3211,612284,22745,99018,124044,198179,171029,3044,7989,18944,272051,372814,0,83392,80636,256832,43368,29577,752877,16210,0,521858,152758,66943,269390,699016,148043,55885,322904,554819,0,0,10669,118103,119601,136240,217293,29698
"Suncheon",0,0,0,0,36827,6093,3725,23011,0,0,0,0,212,43491,0,1251,0,0,0,383,0,0,242,591,0,0,0,6944,0,2809,0,53,1316,6147,559,1214,0,4393,102140,4406,110,0,940,97600,0,7207,0,366,4550,0,1195,24202,11851,0,0,12602,0,0,11574,0,238245,36266,76215,597,0,0,0,0,0,0,0,0,71149,0,0
"Suwon",1233,111935,0,105475,6441,339138,45464,230117,15198,1371,39,2418,307909,628757,630,321,40,0,266,0,0,59426,3812,36787,0,138456,0,87004,0,1486,17067,27135,17107,647,1401,10245,79801,940,119982,6446,17907,2164,44766,72827,758,3615,0,19638,44563,0,17996,24472,80396,14698,16564,122122,0,0,214419,48534,750356,83042,1245,0,27953,1923,62,0,0,5368,34603,2064,48095,66208,0
"Taebak",5731,290,7249,0,0,16315,0,720,31,505,0,3895,20891,4432,13,21566,0,789,111,38982,0,226,0,16,0,417,0,2622,0,0,2256,1301,0,0,0,0,130,0,253,0,26,26583,63,0,117,0,1927,45,0,100,0,0,62,0,0,0,2213,77,1658,0,144056,597,0,1311,7092,34796,3265,38,0,1899,0,13150,0,146,9338
"Ulsan",17664,0,3185,0,0,142475,0,7564,363,0,0,0,109460,9675,812,2403,0,6834,0,3314,0,3489,0,0,0,7140,0,0,0,0,72400,8483,0,0,0,0,0,0,0,0,0,2763,0,0,0,436,0,0,0,0,0,0,0,70,2390,4383,538,0,942,0,53967,0,26272,5752,1836,2884,674,0,0,14204,399,16547,0,0,217
