"","Andong","Anyang","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Donghae","Euijungbu","Euisung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gumi","Gunsan","Gwangju","Gwangyang","Gyeongju","Hadong","Haman","Hongsung","Hwasoon","Iksan","Imsil","Incheon","Jangsung","Jecheon","Jeongeup","Jeongju","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Chuncheon",0,0,0,0,0,0,1469,302,74,328,36004,0,0,585,209,434,0,0,360,86943,19,16,0,0,266,0,0,0,0,0,0,394,0,0,940,134,246,0,0,0,12,0,151,0,0,335,0,0,0,0,0,0,0,2410119,0,39,0,0,0,0,0,0,360,0,0,50,375,206
"Chungdo",0,67,212,0,2160,20,495891,44194,9602,0,216,21743,0,171008,42141,0,792,0,0,0,53215,2792,139920,0,0,393,0,222,68,0,0,0,0,0,173,0,81,0,755,0,46823,0,7023,0,0,0,1063,0,5055,0,7826,8006,0,125287,278,32120,0,0,72,0,2256,0,0,3944,2256,350,154,0
"Chungju",3879,0,0,0,48,0,912,151,1620,51574,0,0,13381,268,26032,2345,0,0,9306,0,0,0,0,0,672,0,465,0,0,0,247,129,0,0,289,210840,845,0,0,2288,0,337,0,155,2,37,0,243,788,149,0,18095,0,23907,108,4149,40,0,72,0,0,0,0,0,8922,1232,0,685
"Daegu",35799,3058,360,5068,672,1762,2534429,115380,139454,175,276,169579,1,1383,510915,12367,1498,22403,42211,0,416659,14067,913981,0,206,0,102602,1070,3470,134,0,739,0,0,545,13044,69238,0,12063,281,266272,0,58000,0,1,1219,10570,319612,73065,4851,59102,65309,0,2157041,387,465373,20120,14465,60,0,12547,0,161803,57273,37786,252,379,651
"Daejeon",334,2900,0,0,1,2103,715004,68528,373350,66614,1374,39954,25025,504617,5797,2804,3962,607,9866,72,161810,4203,169134,0,83430,486,21563,467,1288,1,303,143819,3537,0,18104,105407,62772,45148,9722,3969,23293,52775,50,9876,19418,136925,60383,15781,156848,325,0,172244,0,2668072,52508,637630,38,17731,0,0,273,459,7910,234381,2630,38198,0,1734
"Donghae",6839,0,2,4318,257,0,3433,552,223,1179,360,0,2476,10112,3324,592,0,1060,44241,0,982,0,607,0,1276,0,740,0,0,665,0,109,10,0,12,19492,529,766,540,20971,71,0,147,0,0,156,0,0,0,15422,237,1211,0,110127,0,347,12877,1530,5076,2018,605,0,1648,0,17902,0,94,8015
"Euijungbu",0,0,0,0,0,0,1370,99,35,341,65,0,0,525,544,0,2238787,0,200,0,188,16,885,0,835,0,0,0,0,0,0,625,0,0,1146,222,609,0,0,252,18,26,0,0,0,260,0,0,0,33,0,0,0,10268,0,33,0,0,0,1368,0,1412661,720,648,1,371,0,0
"Euisung",19418,0,0,408,0,0,7264,42,0,0,0,0,0,27513,607,1052,0,5529,1718,0,0,0,0,0,0,0,8274,0,0,0,0,0,0,0,0,2138,0,0,0,823,0,0,0,0,0,500,0,2,0,273,0,0,0,8581,0,0,1202,9371,700,133,0,0,18405,0,5913,0,0,0
"Gangneung",12176,0,87,5440,0,0,16235,352,397,3855,360,0,8980,37612,8769,44319,200,1715,88991,0,1501,28,2845,0,2108,452,4568,0,0,0,0,1852,0,1080,126,28820,334,0,20,41435,393,0,1424,0,0,592,0,360,0,26875,1325,1745,0,222106,23,701,24310,6132,6817,2348,1539,255,3619,0,28723,0,845,7191
"Gapyeong",0,0,0,0,0,0,1368,936,0,0,88746,432,0,72,288,0,0,0,0,6482,0,0,0,0,288,0,0,0,0,393,0,72,0,0,0,0,242,0,0,352,0,0,28,0,0,158,0,0,0,0,0,0,0,342985,252,0,0,0,0,72,0,0,0,0,0,214,0,0
