"","Andong","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Danyang","Dongduchun","Donghae","Euijungbu","Euisung","Eumsung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gimje","Goyang","Gumi","Gunsan","Gwangju","Gwangmyung","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hongsung","Hwasoon","Iksan","Imsil","Incheon","Jangsung","Jecheon","Jeongeup","Jeongju","Jeungpyung","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Gangneung",2778,0,4974,0,0,4204,181,504,107,1091,0,1126,7164,393,0,0,41112,0,653,194,0,0,247,0,0,0,554,389,231,0,0,566,598,0,0,0,0,0,0,434,0,845,6,13126,9,0,224,0,8852,244,99,743,0,10,0,0,0,0,6566,406,106,0,34955,0,1000,12583,1394,2928,1565,66,0,576,31,3863,0,0,2788
"Gapyeong",0,0,0,226,0,0,0,845,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,293,0,0,0,0,13,0,0,0,0,0,0,0,0,124,0,0,0,88,0,0,0,86,0,663,4,0,0,0,0,0,0,0,0,0,16,0,0
"Gimcheon",0,0,8,3,0,57117,3393,19261,28813,328,0,700,383514,117639,57,0,69,0,0,66,328,0,0,395,0,0,207340,0,0,0,0,5,27554,0,125,95,0,8,0,0,0,0,0,240,0,0,144,1077,287,4131,0,6665,0,0,0,6578,10,10207,7,13710,10819,0,94211,0,49288,1129,0,0,0,3030,0,9,26299,4820,0,376,0
"Gimhae",0,0,0,0,170,11139,10271,1888,633,0,0,1823,53889,11441,0,0,12,0,0,0,0,0,535,0,0,6,2402,0,77,6362,222,175,13164,0,1354,1755,8,0,18,0,0,0,0,0,0,0,0,5061,0,17915,119,0,33,0,0,19,1011,791,0,0,428,0,50012,1948,2284,0,266,0,0,0,0,0,227,0,0,0,0
"Gimje",0,0,0,0,265,0,0,8998,0,0,0,0,0,27433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32283,1511,0,0,0,1909,0,0,792,0,87,49377,0,1231,4644,0,21761,0,0,0,0,0,6577,0,1920,0,7012,0,0,6309,0,0,4938,0,65168,163,29800,0,0,0,0,0,0,0,0,0,0,0,0
"Goyang",0,0,1599,0,0,100018,6027,55672,0,0,0,33801,92875,79277,0,0,0,0,0,0,0,0,0,30,0,0,8048,0,52755,6897,0,7377,42,206,0,0,0,0,0,27619,0,0,0,303,6898,12661,0,0,0,1660,12604,0,5326,4506,520,0,13649,0,0,0,0,390,9609,9924,0,0,23370,0,0,0,0,0,394,0,8011,0,0
"Gumi",0,0,22,0,0,296174,12249,72009,74534,420,0,9555,1434041,282845,101,0,207,0,0,167,978,0,193581,1701,0,4001,0,0,0,76979,0,4694,129384,0,0,293,0,0,0,0,0,0,0,551,0,0,175,2565,0,16792,858,8179,0,0,0,6612,14498,20545,42,18632,15168,0,641251,0,98014,32,23749,0,0,3873,0,16,22595,3590,0,0,0
"Gunsan",0,9607,0,18789,0,393,0,23281,0,0,0,0,0,3955,0,0,0,0,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,333,0,0,0,9116,0,33608,0,0,0,0,0,0,0,396,388,0,0,0,0,0,875,0,0,9191,0,0,0,1485,57385,0,34404,398,0,0,0,0,0,0,0,0,0,5557,0
"Gwangju",0,0,0,0,24277,1230,663,113005,0,0,0,92155,0,53998,0,0,122,0,0,0,674,146,0,71,33128,47946,0,0,4273,272721,180,0,0,6976,376,100,22378,1004,2366,181622,0,0,12013,0,51444,0,0,189,0,73,186051,0,8381,0,23581,0,32201,14827,0,0,11796,0,1836007,5592,53021,1965,0,389,0,0,0,0,0,0,700,0,0
"Gwangmyung",0,0,0,0,0,788304,51356,277456,0,0,0,219617,595060,476422,0,0,0,0,0,0,0,0,0,12472,1487,7352,74770,0,273767,13,0,86149,1670,7444,0,269,0,0,0,102678,0,0,4013,0,33517,60498,0,14682,0,22374,76265,0,28857,12264,8916,0,132726,0,0,0,0,0,108642,60290,0,0,313221,0,0,0,0,0,0,0,58914,0,0
"Gwangyang",0,0,0,0,153,1991,4404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,57,0,0,22,0,0,1134,296,6,0,70,0,0,0,0,0,0,0,0,1680,0,128,54,0,51,0,0,0,101,0,0,0,0,0,0,3574,0,0,51,0,0,0,0,0,0,0,0,0,0
"Gyeongju",7169,0,739,0,0,261266,538,27229,0,454,0,13858,238936,85876,1112,0,291,0,4609,0,650,0,6,99,0,8255,4675,0,0,81337,21,2165,28210,0,19,30,0,0,0,0,0,389,0,1544,0,389,0,137,0,27,62,0,0,0,0,0,21434,0,118,0,0,0,380198,168,24032,763,237166,1372,665,0,0,37024,0,4072,0,0,0
"Gyeongsan",8215,0,1012,0,0,512140,80971,10166,70212,0,0,979,772865,43920,0,0,794,0,3477,0,795,0,28194,13853,0,0,133876,0,0,904,0,29787,0,0,0,980,0,0,0,0,11,0,0,0,0,0,0,7610,0,82763,7,3025,0,0,0,1365,2857,6390,286,4902,3889,0,79569,560,26184,537,41189,0,0,1144,0,8060,3271,4111,0,0,0
"Gyeryong",0,3,0,396,80,6,0,18398,0,0,0,1316,0,18964,0,0,0,0,0,0,0,0,0,0,2139,0,0,386,7538,7465,0,0,0,0,0,0,273,123,36,20062,210,0,2400,0,2505,6223,0,0,0,0,2287,0,735,603,14207,0,46,5939,0,0,6731,139,155002,2434,23296,0,0,13,0,0,0,0,0,0,1715,28,0
"Hadong",0,0,0,0,225,11944,16291,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,125,1306,0,0,0,0,225,0,1288,32,0,0,0,757,5,0,24,0,0,0,0,0,0,0,0,10370,0,608,160,0,44,0,0,0,649,0,0,0,0,0,0,8376,0,0,560,0,0,0,0,0,0,0,0,0,0
"Haman",0,0,0,0,63,5753,27450,175,183,0,0,0,2944,868,0,0,20,0,0,0,0,0,129,1904,0,0,312,0,75,347,327,47,1393,0,681,0,11,0,11,0,0,0,0,0,0,0,0,6256,0,1215,97,0,15,0,0,11,90,142,0,0,177,0,820,1391,652,0,111,0,0,0,0,0,46,0,0,0,0
"Hampyeong",0,0,0,0,51,123,55,1442,0,0,0,0,0,3586,0,0,0,0,0,0,0,0,0,7,833,0,0,0,22325,0,7,0,0,254,7,11,0,0,88,3294,0,0,897,0,964,0,0,17,0,2,5979,0,1631,0,778,0,0,1041,0,0,651,0,13619,222,6121,0,0,0,0,0,0,0,0,0,0,0,0
"Hongsung",0,77548,0,46502,0,121,0,200762,0,0,0,0,0,451,0,0,0,0,0,0,0,31,8,0,0,0,0,8796,1004,0,0,0,0,80,0,0,0,0,0,31595,0,0,0,178,0,0,0,0,0,0,0,0,0,0,488,0,0,26076,0,0,0,14525,257848,0,90256,94,0,0,0,0,0,0,0,0,0,31093,0
"Hwasoon",0,0,0,0,8114,338,100,187,0,0,0,0,0,332,0,0,0,0,0,0,0,0,0,6,89,0,0,0,1700,0,63,0,0,54,34,11,169,0,0,435,0,0,186,0,189,0,0,34,0,13,891,0,321,0,90,0,0,179,0,0,219,0,1696,3058,778,0,0,0,0,0,0,0,0,0,0,0,0
"Iksan",0,6961,0,82270,792,288,0,88039,0,0,373,72182,0,233260,0,0,242,330,0,0,816,293,0,0,45595,24964,0,31819,190753,101409,0,0,0,18771,0,0,3323,30116,398,0,15656,0,26675,0,120914,161080,0,389,0,0,68095,172,18893,45681,60609,0,16146,26498,0,213,19187,38938,802415,95257,95589,323,0,0,0,17,0,0,0,0,60636,12321,0
"Imsil",0,0,0,0,0,0,0,1439,0,0,0,0,0,3480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,14968,0,0,0,0,0,21187,0,0,0,0,0,0,0,799,2854,0,0,977,0,0,939,0,13368,6117,5720,0,0,0,0,0,0,0,0,0,4674,0,0
"Incheon",154,0,946,0,0,0,0,380,0,0,595,0,0,0,0,0,0,0,0,0,420,0,0,0,1231,0,0,0,0,0,0,389,0,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,1081,1400,0,0,0,0,0,0,0,0,236,0,319,0,0,0,0,0,0,226,686,0,0,0
"Jangsung",0,0,0,0,175,0,0,3799,0,0,0,0,0,12878,0,116,8,313,0,0,22,0,0,0,5027,0,0,0,11872,3681,0,0,0,2131,0,0,777,0,175,28998,0,0,0,0,14122,0,0,0,0,0,7102,0,1539,0,3658,0,0,2693,0,0,2843,0,32798,178,15112,10,0,0,0,0,25,0,0,0,0,0,0
"Jecheon",17917,121,781,257,0,5706,159,9160,124,67430,35,118465,996,78113,8932,0,17097,542,568,11816,16548,0,281,0,0,303,671,0,0,0,0,1696,0,0,0,0,0,178,0,0,0,0,0,0,389,885,14852,255,31605,400,0,0,0,355,0,274,0,2253,3465,0,29458,120,187833,401,7253,13990,4187,42528,19141,0,0,668,300,30990,0,86,13403
"Jeongeup",0,0,0,0,208,0,0,21844,0,0,109,12862,0,38407,0,0,17,597,0,0,9,13,0,0,21041,7769,0,0,49191,32833,0,0,0,2136,0,0,845,0,167,116537,0,0,14590,389,0,0,0,0,0,0,16496,0,4038,0,6796,0,5069,6735,0,0,4226,0,244992,348,32491,400,0,0,0,0,0,0,0,0,0,0,389
"Jeongju",34,0,0,0,0,146,432,35277,0,0,0,18739,201,58822,0,0,0,0,0,0,477,388,0,0,0,14342,0,0,0,58894,0,389,11,5499,0,0,0,0,0,164426,21253,0,0,885,0,0,0,0,0,36,0,0,0,84901,26750,0,7060,15061,0,0,14911,0,563498,169597,86679,414,0,0,389,0,0,0,0,355,117268,0,0
"Jeungpyung",0,0,0,400,0,0,0,1455,51,19009,0,21570,608,20781,190,0,98,0,0,1609,223,0,129,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17577,0,0,0,0,8,0,0,0,0,0,0,127,0,877,0,0,17972,0,3380,103,1139,209,0,8,0,0,0,0,118,341,390,0,0
"Jinju",386,0,0,0,1189,17590,92387,2417,516,0,0,941,27209,5675,0,0,92,0,0,0,0,0,1145,4872,0,0,2112,396,158,12131,2232,233,6350,0,8264,7091,15,0,33,389,0,0,0,255,0,0,0,0,0,14909,352,440,73,0,0,18,1474,371,0,389,266,0,74067,11662,619,0,789,0,0,0,0,0,177,378,0,0,0
"Jungsun",0,0,0,0,0,339,0,0,0,0,0,184,103,427,0,0,9571,0,0,0,9409,0,292,0,0,0,0,388,1768,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30324,0,0,8,0,8591,51,0,0,0,143,0,0,389,0,1934,0,79,0,71690,0,389,13079,0,23580,6094,0,0,0,0,0,0,0,10288
"Milyang",0,0,14,0,124,816586,115724,13101,5931,0,41,5073,227519,32617,0,0,66,325,0,0,500,0,4582,16178,0,1097,18290,0,52,21254,150,78,80400,0,886,1482,6,0,6,0,36,0,0,400,0,0,0,15596,51,0,50,563,19,0,0,530,914,3052,6,1009,1891,0,162284,3100,13626,101,195,0,0,467,0,0,1878,826,0,0,0
"Mokpo",0,0,0,0,358,725,586,38895,0,0,69,31341,338,33955,0,0,0,0,0,0,99,243,0,95,6490,15531,858,0,193033,73990,52,62,7,1974,122,62,7436,0,858,67782,0,0,7472,0,16231,0,0,261,0,16,0,0,36089,0,6984,0,12901,7527,0,0,3630,0,480548,537,22155,237,21,303,0,0,0,32,0,0,0,0,0
"Munkyeong",0,0,10,0,0,12602,0,0,2080,0,0,0,19578,0,0,0,81,0,0,0,1085,0,7082,0,0,0,8307,0,0,0,0,0,3275,0,0,0,0,0,0,172,0,0,0,0,0,0,0,440,0,546,0,0,0,0,0,0,0,0,4,1302,0,0,0,0,0,2,0,0,0,548,0,0,0,4009,0,0,0
"Naju",0,0,0,0,233,190,118,11548,0,0,336,14448,0,10423,0,132,0,344,0,0,0,0,0,23,2097,6432,0,0,7394,29147,59,0,0,661,35,13,1960,0,287,18915,0,0,1846,0,4431,0,0,81,0,16,35145,0,0,0,1913,0,3123,2508,0,0,1251,0,243330,686,13001,30,0,0,0,0,53,0,0,0,0,0,0
"Namwon",0,0,0,0,0,694,24,7937,0,0,782,2374,0,13996,0,24,143,810,0,0,17,128,0,0,0,4553,0,0,0,12363,0,0,0,566,0,0,0,0,0,44872,841,1391,0,223,0,83537,0,0,143,0,0,0,0,0,2970,0,1603,2772,11,0,2028,0,102241,31937,15601,225,0,0,165,0,0,0,0,0,24678,0,140
"Nonsan",0,81,0,1067,263,87,0,49531,0,0,0,2318,0,298687,0,0,0,824,0,0,0,0,0,0,7284,0,0,815,24370,11173,0,0,0,13399,0,0,834,306,80,59903,918,1400,3608,0,7142,27552,0,0,0,0,7384,0,1862,3065,0,0,61,17162,0,0,21498,351,180239,10354,68292,0,0,53,0,0,0,0,0,0,7054,148,0
"Okchun",0,0,0,0,0,8412,408,14088,1555,404,0,778,10864,75753,94,0,0,0,0,118,0,0,6315,65,0,0,6425,0,0,0,0,0,1401,0,0,20,0,0,0,0,0,0,0,353,0,0,254,22,0,516,0,0,0,0,0,0,0,5815,0,0,11123,0,43698,0,17491,0,211,0,0,0,0,0,22885,66,504,0,0
"Pohang",0,0,18,0,488,107026,5332,41542,0,0,0,37028,306005,171701,0,0,0,0,0,0,0,0,6,116,0,11708,11431,0,27978,140363,81,20996,2142,46,635,58,0,0,0,14460,0,0,0,0,4611,5359,0,1514,389,1124,12397,0,3662,1101,61,0,0,0,0,0,2,0,524481,5420,71,397,42603,0,0,0,0,1298,253,0,4258,0,0
"Pyeongtaek",0,22340,0,24687,539,46063,2854,85608,4945,958,561,2396,53784,279441,0,0,0,0,0,320,0,0,11417,515,6714,0,21756,9132,15501,0,0,0,6558,7135,0,105,1255,25015,180,26629,989,0,3138,1687,7166,17793,850,324,0,3212,8487,0,2727,3251,19105,6625,0,0,0,0,102991,5658,1348095,13488,436359,681,0,682,0,0,0,0,10139,0,8635,20533,0
"Samcheok",793,0,560,0,0,1096,107,0,31,0,0,0,2507,0,0,0,24311,0,133,0,7170,0,7,0,0,0,200,0,443,0,0,125,233,0,0,0,0,0,0,0,0,0,16,3945,0,0,0,0,1635,33,0,13,0,11,0,0,0,0,0,2,0,0,23535,0,0,3340,650,6399,1000,18,0,101,0,1397,0,0,705
"Sangju",0,0,3,0,0,18587,0,0,3690,0,0,0,37490,0,0,0,93,0,0,0,563,0,15753,0,0,0,21903,0,0,0,0,0,5529,0,0,0,0,0,0,213,0,0,0,0,0,0,0,389,0,949,0,1376,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,0,0,1060,0,0,0,3291,0,0,0
"Sejong",0,0,231,0,439,24824,2002,290647,3625,23138,212,27472,31782,386589,725,0,412,0,0,7514,48,0,11120,394,5225,0,14311,0,12855,0,0,0,5281,7009,0,337,780,0,132,20549,891,0,4051,30373,4826,17369,17346,265,83,1787,4550,0,1475,2120,23388,11968,2,101210,0,0,0,0,512579,9478,309929,659,14,30,0,0,0,0,14096,1073,6347,0,0
"Seocheon",0,11824,0,20758,0,0,0,24557,0,226,0,996,584,2711,0,0,0,0,0,0,0,86,0,0,0,390,0,1790,0,0,0,0,0,152,0,0,0,14614,0,39821,0,0,0,120,0,0,0,0,0,0,0,0,0,0,212,0,0,5430,0,0,0,0,83444,0,29690,0,0,0,0,0,0,0,0,0,0,10319,0
"Seoul",65464,242815,18040,182753,9586,4994898,744239,2940049,35518,5315,4,1405177,3762938,4038072,41454,31,17144,117,3598,878,75173,0,98890,42868,68874,24355,633215,61735,1784614,115961,0,366478,73980,149183,0,819,15029,267162,1582,761589,14067,0,35044,188201,234042,531106,3264,73469,70532,175653,477939,0,240793,101229,187545,47632,515130,1374292,20533,0,524369,87378,249724,470683,2441408,49385,1151124,693055,428102,0,7760,964,120619,123321,373176,187499,30316
"Suncheon",0,0,0,0,18795,21281,16203,37275,0,268,659,16814,0,58283,0,0,0,0,0,34,1503,385,0,1765,84,11267,0,0,4972,59782,3567,223,560,1928,7725,1176,213,0,3399,95183,6441,236,128,0,199,167940,103,9047,0,1714,486,0,578,33465,9060,0,6303,12154,0,0,8241,0,479815,81637,50361,0,293,0,0,0,0,0,0,0,130706,0,0
"Suwon",0,85141,3240,84805,3250,457964,11012,708650,15232,1662,4,8930,369833,779632,2922,0,0,0,0,408,1778,0,49616,2230,30205,0,95827,34198,54265,0,0,30991,24287,23448,0,631,6284,89545,750,93854,5831,0,15308,5987,33047,86537,1282,742,389,13052,23374,0,13664,15505,70580,17408,54,416542,0,0,310272,31117,2457205,51609,0,2299,68833,2,0,0,284,19,41099,327,34633,68954,447
"Taebak",2620,404,54566,0,94,4671,222,586,19,140,0,1351,9647,2233,107,0,19431,212,440,0,14056,0,1176,0,0,0,87,398,197,0,0,711,584,0,0,0,0,94,0,323,0,319,0,13862,400,414,209,0,9309,202,237,25,30,225,0,0,417,681,3040,12,659,0,51077,1103,3293,77,2541,19077,2911,30,0,734,0,5578,111,103,4865
"Ulsan",13775,0,2456,0,0,895655,1119,162082,0,0,0,53820,508895,296149,3058,0,703,0,5013,0,1455,0,0,185,0,22731,25193,0,0,281827,51,228805,40795,0,529,93,0,0,0,0,0,0,0,4515,0,0,0,887,0,156,21,0,0,0,0,211,53088,0,678,0,14,0,1147428,525,83828,2801,0,2883,1157,0,0,32878,0,11724,0,0,0
"Wonju",14783,0,0,0,0,5604,0,0,0,0,0,52,668,552,8515,0,2518,0,679,0,5729,0,0,0,0,0,0,0,389,0,0,1532,0,13,0,0,0,0,0,330,0,0,0,46056,0,0,8,0,22459,0,303,0,0,0,56,0,0,682,6105,0,25,0,701751,0,2,18596,2231,686,101275,0,0,1046,0,27067,0,0,11170
"Yangpyeong",6627,0,1,0,0,2309,0,0,0,0,0,0,14,0,3592,0,1551,0,375,0,2974,0,0,0,0,0,0,0,0,0,0,570,0,0,0,0,0,0,0,0,0,0,0,23908,0,389,0,0,7462,0,0,0,0,165,0,0,0,0,1293,0,0,0,403834,0,0,2885,859,117038,47644,0,0,299,0,11102,0,0,2481
"Yechun",0,0,2,0,0,5973,0,0,682,0,0,0,7068,0,0,0,18,0,0,0,72,0,3447,0,0,0,4482,0,0,0,0,0,1127,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,404,0,708,0,0,0,0,0,0,3,1328,0,0,0,0,0,4,0,0,0,0,0,0,0,1726,0,0,0
"Yeoncheon",0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,280807,0,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,7410,0,284,0,0,0,0,0,0,0,42,0,0,0,0
"Yeongchun",5628,0,943,0,0,16690,0,7,0,0,0,0,249440,19,600,0,305,0,4230,0,520,0,9,0,0,0,43,0,0,0,0,35785,7939,0,0,0,0,0,0,0,0,0,0,746,0,0,0,0,0,0,32,0,0,0,0,0,2302,0,61,0,0,0,1181,0,41,399,37675,1201,361,0,0,0,0,2263,0,0,0
