"","Andong","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Danyang","Dongduchun","Donghae","Euijungbu","Euisung","Eumsung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gimje","Goyang","Gumi","Gunsan","Gwangju","Gwangmyung","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hongsung","Hwasoon","Iksan","Imsil","Incheon","Jangsung","Jecheon","Jeongeup","Jeongju","Jeungpyung","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Hampyeong",0,0,0,0,66,114,27,1651,0,0,0,0,0,4015,0,0,5,0,0,0,0,0,0,7,816,0,0,0,21430,0,32,0,0,280,23,10,151,0,127,3594,0,0,997,0,984,0,0,277,0,6,7060,0,2014,0,906,0,0,1319,0,0,1037,0,17210,233,7143,29,0,0,0,0,0,0,0,0,0,0,0
"Hongsung",0,81794,0,52260,0,0,0,204497,0,0,0,0,98,612,0,0,0,0,0,0,89,75,0,0,0,720,0,10307,0,0,0,0,0,146,0,0,0,3122,0,30117,0,0,0,214,0,0,0,0,0,0,0,0,0,0,348,0,0,24556,0,0,0,15762,278222,0,94212,162,0,20,0,0,0,0,0,0,0,35962,0
"Hwasoon",0,0,0,0,10706,256,22,164,0,0,0,0,0,377,0,0,0,0,0,0,0,0,0,11,96,0,0,0,2059,0,65,0,0,21,51,16,42,0,276,438,0,0,52,0,60,0,0,44,0,9,872,0,90,0,76,0,0,193,0,0,137,0,1769,3594,777,0,0,0,0,0,0,0,0,0,0,0,0
"Iksan",0,8081,0,86582,845,388,0,71150,40,0,637,39183,81,240865,0,0,477,0,0,0,140,0,0,0,46614,20224,219,32698,168078,101409,0,0,0,20080,0,0,3465,32196,438,5269,14423,0,28333,0,120060,157394,0,0,0,0,61933,0,15812,43789,64336,0,0,26591,0,0,24795,40958,527698,92998,96818,0,0,330,0,0,0,49,0,0,60205,16166,0
"Imsil",0,0,0,0,0,0,0,1395,0,0,0,0,0,3281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,15962,106,0,0,0,0,25347,0,0,0,0,0,0,0,900,1004,0,0,935,0,0,877,0,15142,6470,5508,0,0,0,0,0,0,0,0,0,4989,0,0
"Incheon",0,0,1250,0,0,0,0,0,0,760,432,0,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754,932,394,0,0,0,0,231,0,0,1158,750,390,0,0,0,0,0,1094,0,302,0,3419,0,0,0,0,0,0,0,0,0,0,0
"Jangsung",0,0,0,0,173,0,0,5335,0,0,272,648,0,18052,0,0,166,0,0,53,0,7,0,0,4802,549,0,0,13442,3681,0,0,0,2461,0,0,830,0,66,29332,0,0,1866,0,13855,0,40,0,0,0,8794,0,2336,0,4278,0,0,2991,0,0,3989,0,48429,120,15968,407,0,0,0,0,0,0,0,0,0,0,0
"Jecheon",22725,0,518,187,0,7840,15,5453,70,76377,0,114021,353,93277,15655,0,16761,0,514,15178,14069,0,264,7,0,448,768,120,708,0,0,1992,390,0,34,11,22,214,0,0,0,754,241,132,438,828,18050,175,33964,114,281,0,47,828,0,346,0,1835,4201,0,37168,323,208661,335,4520,15871,3783,50512,23947,0,0,751,821,40967,0,320,15999
"Jeongeup",0,0,0,0,187,666,0,19625,0,0,151,6743,315,42798,0,0,358,34,0,0,15,69,285,0,23342,5142,0,0,44952,32833,0,0,0,3119,0,0,947,0,51,123951,0,932,14151,190,0,0,0,0,134,20,16321,0,4293,0,7753,0,778,7620,0,0,6021,0,173510,208,34016,223,411,388,238,0,0,0,0,0,0,0,139
"Jeongju",0,0,0,0,0,0,657,31860,0,0,102,13756,0,72738,0,0,1269,145,0,0,1150,0,0,3,0,8424,0,0,0,58894,0,774,0,7069,0,2,0,0,0,158429,24459,394,0,828,0,6133,0,463,0,61,0,0,0,94728,31400,0,0,18561,516,0,19820,0,385710,172559,92353,630,0,324,3,0,0,0,0,0,120324,0,0
"Jeungpyung",0,0,0,0,0,0,0,982,36,21532,0,21360,609,23481,484,0,57,0,0,1373,0,0,133,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,14972,0,0,0,0,0,0,0,0,0,0,0,324,0,759,0,0,20844,0,3221,25,1338,0,0,0,0,0,0,0,202,486,38,0,0
"Jinju",788,0,50,0,1023,20130,40875,2581,494,0,189,970,27743,5142,0,0,329,0,0,0,33,0,783,5309,398,22,2425,0,209,12131,2249,168,7333,0,11321,7300,260,0,33,0,0,0,0,176,0,169,0,2653,0,15711,341,295,57,0,0,38,561,419,9,373,225,0,49751,10965,745,18,509,0,0,129,0,0,258,1079,0,0,0
"Jungsun",0,0,78,0,0,0,0,0,0,0,0,5,161,1002,0,5,11680,355,0,0,10399,0,232,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36424,134,0,0,0,23374,0,0,0,0,396,0,0,1155,0,2429,0,309,0,91262,0,0,10817,0,23645,7171,0,72,0,0,189,0,0,13377
